taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
33986	genus	Exiguobacterium	9	4	10	9	9	8.56	1.64	[9, 9, 9, 9, 10, 9, 4, 9, 9]
178440	genus	Opitutus	3	1	1	1	1	1.00	0.00	[1, 1, 1]
375928	genus	Natranaerobius	1	4	4	4	4	4.00	0.00	[4]
423604	genus	Elusimicrobium	1	1	1	1	1	1.00	0.00	[1]
239934	genus	Akkermansia	29	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
212790	genus	Sulfurihydrogenibium	2	2	3		2.5	2.50	0.50	[3, 2]
2295	genus	Desulfobacterium	1	6	6	6	6	6.00	0.00	[6]
32636	genus	Halothermothrix	1	4	4	4	4	4.00	0.00	[4]
100715	genus	Chloroherpeton	1	1	1	1	1	1.00	0.00	[1]
1101	genus	Prosthecochloris	5	1	2	2	2	1.80	0.40	[2, 1, 2, 2, 2]
226	genus	Alteromonas	38	1	7	5	5.0	4.71	1.14	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 1, 1, 1, 5, 5]
40323	genus	Stenotrophomonas	66	1	4	4	4.0	3.59	0.70	[4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3, 4, 4, 4, 4, 4, 2, 4, 3, 4, 3, 4, 4, 3, 4, 2, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 3, 4, 2, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 2, 4, 3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 3, 4, 4]
168657	genus	Hydrogenobaculum	5	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2]
119977	genus	Acidithiobacillus	11	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
635	genus	Edwardsiella	19	7	10	8	8	8.26	0.71	[8, 8, 8, 7, 8, 8, 9, 9, 10, 9, 8, 9, 8, 7, 8, 8, 8, 9, 8]
2273	genus	Desulfurococcus	3	1	1	1	1	1.00	0.00	[1, 1, 1]
68335	genus	Coprothermobacter	1	2	2	2	2	2.00	0.00	[2]
13	genus	Dictyoglomus	2	2	2	2	2.0	2.00	0.00	[2, 2]
28261	genus	Thermodesulfovibrio	1	1	1	1	1	1.00	0.00	[1]
168470	genus	Laribacter	3	7	7	7	7	7.00	0.00	[7, 7, 7]
352	genus	Azotobacter	7	6	6	6	6	6.00	0.00	[6, 6, 6, 6, 6, 6, 6]
89583	genus	Gluconacetobacter	2	4	4	4	4.0	4.00	0.00	[4, 4]
40136	genus	Oligotropha	3	1	1	1	1	1.00	0.00	[1, 1, 1]
182899	genus	Persephonella	1	2	2	2	2	2.00	0.00	[2]
499	genus	Thermomicrobium	1	2	2	2	2	2.00	0.00	[2]
191291	genus	Nautilia	2	4	4	4	4.0	4.00	0.00	[4, 4]
120652	genus	Methylocella	2	2	2	2	2.0	2.00	0.00	[2, 2]
33057	genus	Thauera	5	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4]
218207	genus	Desulfatibacillum	1	2	2	2	2	2.00	0.00	[2]
475087	genus	Methanosphaerula	1	3	3	3	3	3.00	0.00	[3]
106633	genus	Thioalkalivibrio	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
29521	genus	Brachyspira	9	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1]
56688	genus	Halorubrum	7	2	3	2	2	2.29	0.45	[3, 2, 2, 2, 3, 2, 2]
33973	genus	Acidobacterium	1	1	1	1	1	1.00	0.00	[1]
416916	genus	Aggregatibacter	14	6	6	6	6.0	6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
2425	genus	Teredinibacter	2	3	3	3	3.0	3.00	0.00	[3, 3]
43947	genus	Tolumonas	1	8	8	8	8	8.00	0.00	[8]
84756	genus	Beutenbergia	1	2	2	2	2	2.00	0.00	[2]
120831	genus	Dyadobacter	1	4	4	4	4	4.00	0.00	[4]
1269	genus	Micrococcus	10	2	3	2	2.0	2.10	0.30	[2, 2, 2, 3, 2, 2, 2, 2, 2, 2]
898	genus	Desulfomicrobium	2	2	2	2	2.0	2.00	0.00	[2, 2]
40566	genus	Actinosynnema	3	5	5	5	5	5.00	0.00	[5, 5, 5]
53634	genus	Acidimicrobium	1	2	2	2	2	2.00	0.00	[2]
1016	genus	Capnocytophaga	25	3	4	4	4	3.56	0.50	[4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 3]
651456	genus	Kosmotoga	2	2	2	2	2.0	2.00	0.00	[2, 2]
34072	genus	Variovorax	17	2	3	2	2	2.06	0.24	[2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
43668	genus	Brachybacterium	7	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3]
417127	genus	Zunongwangia	1	3	3	3	3	3.00	0.00	[3]
204037	genus	Dickeya	30	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
44249	genus	Paenibacillus	100	6	15	8	10.0	10.56	2.14	[12, 8, 12, 13, 13, 9, 14, 14, 13, 12, 8, 13, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 11, 10, 10, 15, 12, 9, 9, 10, 13, 9, 9, 11, 6, 10, 10, 14, 10, 11, 12, 12, 13, 8, 8, 8, 8, 9, 10, 8, 8, 9, 15, 14, 8, 8, 8, 8, 13, 8, 10, 11, 8, 14, 8, 9, 13, 10, 11, 9, 9, 14, 13, 12, 13, 9, 9, 11, 8, 13, 8, 11, 13, 10, 8, 13, 12, 10, 10, 8, 14, 12, 12, 11, 14, 8, 8, 14, 14, 10]
359407	genus	Methylotenera	4	1	3	2	2.0	2.00	0.71	[2, 3, 2, 1]
81682	genus	Methylovorus	2	2	2	2	2.0	2.00	0.00	[2, 2]
2723	genus	Hirschia	1	2	2	2	2	2.00	0.00	[2]
84567	genus	Pedobacter	13	2	7	4	4	4.00	1.30	[3, 7, 6, 4, 5, 4, 3, 4, 2, 4, 3, 3, 4]
84162	genus	Cryptobacterium	1	3	3	3	3	3.00	0.00	[3]
1851	genus	Saccharomonospora	2	3	3	3	3.0	3.00	0.00	[3, 3]
84108	genus	Slackia	2	2	2	2	2.0	2.00	0.00	[2, 2]
32067	genus	Leptotrichia	15	4	5	5	5	4.87	0.34	[5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5]
57499	genus	Kytococcus	2	2	2	2	2.0	2.00	0.00	[2, 2]
146825	genus	Halorhabdus	2	1	1	1	1.0	1.00	0.00	[1, 1]
203135	genus	Halomicrobium	4	2	3	3	3.0	2.75	0.43	[3, 3, 2, 3]
196118	genus	Methanocaldococcus	6	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2]
79328	genus	Chitinophaga	8	2	7	2	4.0	4.12	1.96	[6, 2, 7, 6, 5, 2, 2, 3]
414878	genus	Catenulispora	1	3	3	3	3	3.00	0.00	[3]
43673	genus	Jonesia	3	5	5	5	5	5.00	0.00	[5, 5, 5]
261963	genus	Kangiella	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
165779	genus	Anaerococcus	3	3	4	3	3	3.33	0.47	[4, 3, 3]
252306	genus	Robiginitalea	1	2	2	2	2	2.00	0.00	[2]
	genus	Atopobium	2	1	2		1.5	1.50	0.50	[1, 2]
84111	genus	Eggerthella	3	3	3	3	3	3.00	0.00	[3, 3, 3]
29330	genus	Alicyclobacillus	3	6	7	6	6	6.33	0.47	[6, 6, 7]
45662	genus	Desulfohalobium	1	2	2	2	2	2.00	0.00	[2]
182639	genus	Kribbella	2	2	3		2.5	2.50	0.50	[2, 3]
53460	genus	Nakamurella	3	2	3	2	2	2.33	0.47	[2, 3, 2]
2019	genus	Thermomonospora	1	4	4	4	4	4.00	0.00	[4]
32068	genus	Sebaldella	1	4	4	4	4	4.00	0.00	[4]
65551	genus	Meiothermus	3	2	2	2	2	2.00	0.00	[2, 2, 2]
283810	genus	Stackebrandtia	1	2	2	2	2	2.00	0.00	[2]
34104	genus	Streptobacillus	2	5	5	5	5.0	5.00	0.00	[5, 5]
42837	genus	Ammonifex	1	2	2	2	2	2.00	0.00	[2]
832	genus	Fibrobacter	2	3	3	3	3.0	3.00	0.00	[3, 3]
109262	genus	Halothiobacillus	3	2	2	2	2	2.00	0.00	[2, 2, 2]
2053	genus	Gordonia	18	2	4	3	3.0	3.22	0.71	[2, 3, 3, 4, 3, 4, 4, 3, 4, 2, 4, 3, 4, 2, 3, 3, 3, 4]
162027	genus	Haliangium	1	2	2	2	2	2.00	0.00	[2]
29548	genus	Rhodothermus	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
2000	genus	Streptosporangium	1	6	6	6	6	6.00	0.00	[6]
57665	genus	Sulfurospirillum	11	2	4	3	3	2.73	0.62	[3, 2, 2, 4, 3, 2, 3, 3, 3, 2, 3]
81461	genus	Thermanaerovibrio	1	3	3	3	3	3.00	0.00	[3]
60919	genus	Sanguibacter	2	3	4		3.5	3.50	0.50	[4, 3]
29465	genus	Veillonella	9	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4, 4]
186188	genus	Xylanimonas	1	3	3	3	3	3.00	0.00	[3]
2056	genus	Sphaerobacter	1	2	2	2	2	2.00	0.00	[2]
123	genus	Pirellula	1	1	1	1	1	1.00	0.00	[1]
2701	genus	Gardnerella	7	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2]
	genus	Saccharofermentans	1	2	2	2	2	2.00	0.00	[2]
191494	genus	Conexibacter	2	1	1	1	1.0	1.00	0.00	[1, 1]
904	genus	Acidaminococcus	2	3	6		4.5	4.50	1.50	[6, 3]
121871	genus	Haloterrigena	6	2	3	3	3.0	2.67	0.47	[3, 3, 2, 3, 3, 2]
1860	genus	Geodermatophilus	1	3	3	3	3	3.00	0.00	[3]
53335	genus	Pantoea	31	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
85072	genus	Allochromatium	1	3	3	3	3	3.00	0.00	[3]
54260	genus	Ferroglobus	1	1	1	1	1	1.00	0.00	[1]
547	genus	Enterobacter	263	6	9	8	8	7.97	0.21	[8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8]
75905	genus	Thermocrinis	2	1	1	1	1.0	1.00	0.00	[1, 1]
63742	genus	Natrialba	1	3	3	3	3	3.00	0.00	[3]
2251	genus	Haloferax	6	1	2	2	2.0	1.83	0.37	[2, 2, 2, 2, 1, 2]
314343	genus	Sideroxydans	2	2	2	2	2.0	2.00	0.00	[2, 2]
117999	genus	Denitrovibrio	1	2	2	2	2	2.00	0.00	[2]
2175	genus	Methanohalophilus	2	1	3		2.0	2.00	1.00	[3, 1]
81466	genus	Aminobacterium	1	3	3	3	3	3.00	0.00	[3]
442430	genus	Coraliomargarita	1	2	2	2	2	2.00	0.00	[2]
838	genus	Prevotella	27	3	5	4	4	4.04	0.33	[4, 4, 4, 4, 5, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]
109168	genus	Desulfotalea	2	6	7		6.5	6.50	0.50	[7, 6]
12960	genus	Azoarcus	12	3	5	4	4.0	3.83	0.55	[4, 4, 5, 4, 4, 3, 4, 4, 3, 4, 4, 3]
63743	genus	Natronomonas	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
53246	genus	Pseudoalteromonas	48	6	12	8	8.0	8.67	1.23	[9, 8, 7, 9, 8, 7, 9, 8, 9, 9, 10, 12, 12, 12, 10, 9, 9, 8, 8, 10, 8, 8, 8, 8, 9, 8, 9, 9, 9, 8, 10, 8, 8, 10, 6, 9, 9, 10, 7, 9, 7, 8, 8, 8, 8, 8, 8, 8]
551	genus	Erwinia	25	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
626	genus	Xenorhabdus	8	7	7	7	7.0	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7]
42054	genus	Chromohalobacter	1	5	5	5	5	5.00	0.00	[5]
41707	genus	Lawsonia	2	2	2	2	2.0	2.00	0.00	[2, 2]
292691	genus	Gramella	4	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3]
1835	genus	Saccharopolyspora	5	4	5	5	5	4.60	0.49	[4, 4, 5, 5, 5]
1573	genus	Clavibacter	16	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
39643	genus	Sorangium	5	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4]
517	genus	Bordetella	759	3	5	3	3	3.01	0.11	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
583	genus	Proteus	77	1	8	7	7	6.86	0.98	[7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7]
165695	genus	Sphingobium	28	2	4	3	3.0	3.04	0.78	[3, 3, 2, 2, 3, 4, 2, 3, 2, 2, 3, 2, 3, 2, 4, 4, 4, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 3]
1649480	genus	Planctopirus	2	2	2	2	2.0	2.00	0.00	[2, 2]
54253	genus	Thermosphaera	2	1	1	1	1.0	1.00	0.00	[1, 1]
427922	genus	Desulfurivibrio	1	2	2	2	2	2.00	0.00	[2]
2060	genus	Tsukamurella	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
475	genus	Moraxella	24	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
28263	genus	Arcanobacterium	3	4	4	4	4	4.00	0.00	[4, 4, 4]
129001	genus	Syntrophothermus	1	2	2	2	2	2.00	0.00	[2]
332248	genus	Truepera	1	2	2	2	2	2.00	0.00	[2]
32012	genus	Thiomonas	2	1	1	1	1.0	1.00	0.00	[1, 1]
147067	genus	Thermobispora	1	4	4	4	4	4.00	0.00	[4]
71666	genus	Waddlia	1	2	2	2	2	2.00	0.00	[2]
286801	genus	Segniliparus	1	1	1	1	1	1.00	0.00	[1]
1707	genus	Cellulomonas	10	2	3	2	2.0	2.40	0.49	[2, 2, 2, 2, 3, 3, 3, 2, 3, 2]
1129704	genus	Kyrpidia	4	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5]
152053	genus	Starkeya	1	1	1	1	1	1.00	0.00	[1]
278993	genus	Thermincola	1	3	3	3	3	3.00	0.00	[3]
2013	genus	Nocardiopsis	7	2	6	5	5	4.71	1.16	[5, 5, 5, 5, 6, 2, 5]
283	genus	Comamonas	12	2	9		5.0	5.67	2.43	[3, 9, 2, 5, 4, 3, 5, 9, 6, 8, 5, 9]
81	genus	Hyphomicrobium	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
670486	genus	Dehalogenimonas	3	1	1	1	1	1.00	0.00	[1, 1, 1]
963	genus	Herbaspirillum	12	2	4	3	3.0	3.00	0.41	[3, 3, 3, 2, 3, 3, 3, 3, 3, 4, 3, 3]
133925	genus	Olsenella	6	1	4	2	2.0	2.50	1.12	[1, 2, 4, 4, 2, 2]
453229	genus	Desulfarculus	1	1	1	1	1	1.00	0.00	[1]
146	genus	Spirochaeta	6	2	7	2	2.5	3.33	1.80	[2, 2, 2, 3, 7, 4]
41275	genus	Brevundimonas	17	1	2	2	2	1.94	0.24	[2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2]
291988	genus	Thermosediminibacter	1	3	3	3	3	3.00	0.00	[3]
28186	genus	Acetohalobium	1	5	5	5	5	5.00	0.00	[5]
105850	genus	Acidilobus	2	1	1	1	1.0	1.00	0.00	[1, 1]
830	genus	Butyrivibrio	2	4	6		5.0	5.00	1.00	[6, 4]
1873	genus	Micromonospora	9	3	4	3	3	3.22	0.42	[3, 3, 3, 3, 3, 4, 3, 4, 3]
96	genus	Gallionella	1	3	3	3	3	3.00	0.00	[3]
28895	genus	Thermoanaerobacterium	6	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5, 5, 5]
1408194	genus	Candidatus Endomicrobium	3	1	1	1	1	1.00	0.00	[1, 1, 1]
456826	genus	Candidatus Cloacamonas	1	2	2	2	2	2.00	0.00	[2]
	genus	Lachnospiracea_incertae_sedis	5	4	8	5	5	5.40	1.36	[5, 4, 5, 5, 8]
1184396	genus	Mesotoga	2	2	2	2	2.0	2.00	0.00	[2, 2]
230355	genus	Methanolacinia	1	2	2	2	2	2.00	0.00	[2]
164450	genus	Vulcanisaeta	2	1	1	1	1.0	1.00	0.00	[1, 1]
44011	genus	Ferrimonas	2	7	11		9.0	9.00	2.00	[7, 11]
1730	genus	Eubacterium	6	5	7	5	5.0	5.33	0.75	[5, 7, 5, 5, 5, 5]
74968	genus	Ferroplasma	2	1	1	1	1.0	1.00	0.00	[1, 1]
208215	genus	Parvularcula	1	1	1	1	1	1.00	0.00	[1]
326319	genus	Dokdonia	4	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3]
52959	genus	Polaribacter	8	2	6	2	3.0	3.62	1.65	[2, 3, 3, 6, 6, 5, 2, 2]
252356	genus	Maribacter	5	2	3	2	2	2.20	0.40	[2, 2, 3, 2, 2]
83612	genus	Psychroflexus	1	3	3	3	3	3.00	0.00	[3]
302485	genus	Phaeobacter	34	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
53945	genus	Octadecabacter	3	1	2	2	2	1.67	0.47	[2, 2, 1]
848	genus	Fusobacterium	47	3	9	5	5	5.34	1.15	[5, 5, 5, 5, 3, 4, 4, 4, 4, 5, 4, 5, 5, 3, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 7, 7, 6, 6, 5, 5, 6, 6, 6, 6, 5, 5, 5, 9, 5, 7, 7, 7, 5]
44259	genus	Filifactor	1	4	4	4	4	4.00	0.00	[4]
92944	genus	Ketogulonicigenium	6	5	6	5	5.0	5.17	0.37	[5, 5, 5, 5, 5, 6]
2330	genus	Halanaerobium	2	4	4	4	4.0	4.00	0.00	[4, 4]
40	genus	Stigmatella	1	2	2	2	2	2.00	0.00	[2]
167639	genus	Ilyobacter	1	8	8	8	8	8.00	0.00	[8]
1649490	genus	Rubinisphaera	1	2	2	2	2	2.00	0.00	[2]
222	genus	Achromobacter	35	3	4	3	3	3.43	0.49	[3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4]
1068	genus	Rhodomicrobium	1	2	2	2	2	2.00	0.00	[2]
2179	genus	Methanothermus	1	2	2	2	2	2.00	0.00	[2]
319458	genus	Leadbetterella	1	3	3	3	3	3.00	0.00	[3]
60846	genus	Halogeometricum	3	1	2	2	2	1.67	0.47	[2, 1, 2]
76890	genus	Asticcacaulis	2	3	3	3	3.0	3.00	0.00	[3, 3]
	genus	Sporolactobacillaceae_incertae_sedis	3	7	10	7	7	8.00	1.41	[10, 7, 7]
393029	genus	Desulfurispirillum	1	3	3	3	3	3.00	0.00	[3]
253238	genus	Ethanoligenens	5	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3]
698776	genus	Cellulosilyticum	2	11	11	11	11.0	11.00	0.00	[11, 11]
940557	genus	Granulicella	4	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1]
201096	genus	Alicycliphilus	3	3	3	3	3	3.00	0.00	[3, 3, 3]
155862	genus	Methanothermococcus	2	2	2	2	2.0	2.00	0.00	[2, 2]
1263	genus	Ruminococcus	2	4	4	4	4.0	4.00	0.00	[4, 4]
392733	genus	Terriglobus	3	1	2	1	1	1.33	0.47	[1, 2, 1]
1434011	genus	Komagataeibacter	12	1	5	5	5.0	4.33	1.49	[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 5]
346096	genus	Paludibacter	1	3	3	3	3	3.00	0.00	[3]
34084	genus	Riemerella	12	2	3	3	3.0	2.92	0.28	[3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3]
545865	genus	Calditerrivibrio	1	2	2	2	2	2.00	0.00	[2]
869806	genus	Marivirga	1	2	2	2	2	2.00	0.00	[2]
286130	genus	Sulfuricurvum	1	3	3	3	3	3.00	0.00	[3]
208447	genus	Oceanithermus	1	2	2	2	2	2.00	0.00	[2]
53357	genus	Intrasporangium	2	2	2	2	2.0	2.00	0.00	[2, 2]
