Plate	Well	ID	medium	dilution_day	rep	tournament	tree	level	how_many	C_number	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	glucose_c	fructose_c	xylose_c	mannose_c	cellobiose_c	maltose_c	sucrose_c	citric_acid_c	fumaric_acid_c	galacturonic_acid_c	mannitol_c	sorbitol_c	glycerol_c	proline_c	cellulose_c	starch_c
1	C7	31	11	7	a	a	b	b	two	2	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
1	C8	32	11	7	b	a	b	b	two	2	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
1	C9	33	11	7	c	a	b	b	two	2	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
1	C10	34	12	7	a	a	b	a	four	4	N	Y	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0
1	C11	35	12	7	b	a	b	a	four	4	N	Y	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0
1	C12	36	12	7	c	a	b	a	four	4	N	Y	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0
1	D1	37	13	7	a	a	b	b	four	4	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0.25
1	D2	38	13	7	b	a	b	b	four	4	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0.25
1	D3	39	13	7	c	a	b	b	four	4	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0.25
1	D4	40	14	7	a	a	b	c	eight	8	N	Y	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	Y	0	0.125	0.125	0.125	0.125	0	0	0.125	0	0	0.125	0	0.125	0	0	0.125
