Plate	Well	medium	dilution_day	rep	OD	tournament	tree	level	how_many	n_C_sources	C1	C2	C3	C4	C5	C6	C7	C8	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	monosaccharide	disaccaride	organic_acid	alcool	polisaccharide	proline	C_F_G_P
1	C7	11	7	a	0.089700002	a	b	b	two	2	glycerol	starch	no	no	no	no	no	no	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	Y	Y	N	N
1	C8	11	7	b	0.100900002	a	b	b	two	2	glycerol	starch	no	no	no	no	no	no	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	Y	Y	N	N
1	C10	12	7	a	0.091699999	a	b	a	four	4	cellobiose	fructose	citric_acid	mannose	no	no	no	no	N	Y	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	Y
1	C11	12	7	b	0.097099997	a	b	a	four	4	cellobiose	fructose	citric_acid	mannose	no	no	no	no	N	Y	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	Y
1	C12	12	7	c	0.09285	a	b	a	four	4	cellobiose	fructose	citric_acid	mannose	no	no	no	no	N	Y	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	Y
1	D1	13	7	a	0.0986	a	b	b	four	4	xylose	mannitol	glycerol	starch	no	no	no	no	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	Y	N	N
1	D2	13	7	b	0.10695	a	b	b	four	4	xylose	mannitol	glycerol	starch	no	no	no	no	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	Y	N	N
1	D3	13	7	c	0.114399999	a	b	b	four	4	xylose	mannitol	glycerol	starch	no	no	no	no	N	N	Y	N	N	N	N	N	N	N	Y	N	N	N	N	Y	Y	N	N	Y	Y	N	N
1	D4	14	7	a	0.102049999	a	b	c	eight	8	cellobiose	fructose	citric_acid	mannose	xylose	mannitol	glycerol	starch	N	Y	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	Y	Y	Y	Y	Y	Y	N	Y
1	D5	14	7	b	0.110199999	a	b	c	eight	8	cellobiose	fructose	citric_acid	mannose	xylose	mannitol	glycerol	starch	N	Y	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	Y	Y	Y	Y	Y	Y	N	Y
1	D6	14	7	c	0.095450003	a	b	c	eight	8	cellobiose	fructose	citric_acid	mannose	xylose	mannitol	glycerol	starch	N	Y	Y	Y	Y	N	N	Y	N	N	Y	N	N	N	N	Y	Y	Y	Y	Y	Y	N	Y
